Year,Movie,Won?,Budget,Opening Weekend,IMDB Rating,Genres,Won Golden Globe,Won Bafta,Oscar Nominations,Golden Globe Nominations,Bafta Nominations,IMdB id,Won Producers,Won Directors,Won Actors,Rate,Metascore
1995,Braveheart,1,72000000,9938276,8.4,"Biography, Drama, History, War",0,0,10,4,7,tt0112573,0,0,0,R,68
1995,The Postman (Il Postino),0,3000000,,7.8,"Biography, Comedy, Drama, Romance",0,1,5,3,5,tt0110877,0,0,0,PG,81
1995,Sense and Sensibility,0,16000000,,7.7,"Drama, Romance",1,1,7,6,12,tt0114388,0,0,0,PG,84
1994,Forrest Gump,1,55000000,24450602,8.8,"Comedy, Drama",1,0,13,7,8,tt0109830,1,1,0,PG-13,82
1994,Four Weddings and a Funeral,0,4400000,,7.1,"Comedy, Drama, Romance",0,1,2,4,11,tt0109831,0,0,0,R,81
1994,Pulp Fiction,0,8000000,9311882,8.9,"Crime, Drama",0,0,7,6,9,tt0110912,0,0,0,R,94
1994,Quiz Show,0,31000000,757714,7.5,"Biography, Drama, History",0,0,4,4,3,tt0110932,0,0,0,PG-13,88
1994,The Shawshank Redemption,0,25000000,727327,9.3,"Crime, Drama",0,0,7,2,0,tt0111161,0,0,0,R,80
1993,The Fugitive,0,44000000,23758855,7.8,"Action, Crime, Drama, Mystery, Thriller",0,0,7,3,4,tt0106977,0,0,0,PG-13,88
1993,In the Name of the Father,0,13000000,,8.1,"Biography, Drama",0,0,7,4,2,tt0107207,0,0,0,R,84
1993,The Piano,0,7000000,,7.6,"Drama, Music, Romance",0,0,8,6,10,tt0107822,0,0,0,R,89
1993,The Remains of the Day,0,15000000,,7.9,"Drama, Romance",0,0,8,5,6,tt0107943,0,0,0,PG,84
1993,Schindler's List,1,22000000,656636,8.9,"Biography, Drama, History",1,1,12,6,13,tt0108052,1,1,0,R,93
1992,The Crying Game,0,2300000,,7.3,"Crime, Drama, Romance, Thriller",0,0,6,1,7,tt0104036,1,0,0,R,90
1992,A Few Good Men,0,40000000,,7.6,"Drama, Thriller",0,0,4,5,0,tt0104257,0,0,0,R,62
1992,Howards End,0,,23840,7.5,"Drama, Romance",0,1,9,4,11,tt0104454,0,0,0,PG,89
1992,Scent of a Woman,0,31000000,357468,8,Drama,1,0,4,4,1,tt0105323,0,0,0,R,59
1992,Unforgiven,1,14400000,15018007,8.3,"Drama, Western",0,0,9,4,6,tt0105695,0,1,0,R,82
1991,Beauty and the Beast,0,,,,"Family, Fantasy, Musical, Romance",0,0,0,0,0,tt2771200,0,0,0,PG,
1991,Bugsy,0,30000000,140358,6.8,"Biography, Crime, Drama",1,0,10,8,0,tt0101516,0,0,0,R,
1991,JFK,0,40000000,5223658,8,"Drama, History, Thriller",0,0,8,4,4,tt0102138,0,0,0,R,72
1991,The Prince of Tides,0,30000000,,6.7,"Drama, Romance",0,0,7,3,0,tt0102713,0,0,0,R,
1991,The Silence of the Lambs,1,19000000,13766814,8.6,"Crime, Drama, Thriller",0,0,7,5,9,tt0102926,1,1,0,R,84
1990,Awakenings,0,,417076,7.8,"Biography, Drama",0,0,3,1,0,tt0099077,0,0,0,PG-13,74
1990,Dances With Wolves,1,22000000,598257,8,"Adventure, Drama, Western",1,0,12,6,9,tt0099348,1,1,0,PG-13,72
1990,Ghost,0,22000000,12191540,7,"Drama, Fantasy, Romance, Thriller",0,0,5,4,4,tt0099653,0,0,0,PG-13,52
1990,"The Godfather, Part III",0,54000000,19558558,7.6,"Crime, Drama",0,0,7,7,0,tt0099674,0,0,0,R,60
1990,Good Fellas,0,25000000,6368901,8.7,"Biography, Crime, Drama",0,1,6,5,7,tt0099685,0,0,0,R,89
1989,Born on the Fourth of July,0,14000000,172021,7.2,"Biography, Drama, War",1,0,8,5,2,tt0096969,0,1,0,R,75
1989,Dead Poets Society,0,16400000,340456,8,"Comedy, Drama",0,1,4,4,6,tt0097165,0,0,0,PG,79
